id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
9638,Fresno americano,26/01/2011 12:30,Medio (4 - 8 mts),70.0,Grande,-68.8493265211,-32.8645567841,6,Residencial Norte,2694682.37982,0,medio
33803,Morera,13/05/2011 08:22,Alto (> 8 mts),200.0,Grande,-68.8562881512,-32.8863149934,5,Residencial Sur,2423808.92355,0,muy alto
35657,Morera,17/03/2011 12:00,Alto (> 8 mts),200.0,Grande,-68.8562073162,-32.8748860451,6,Residencial Norte,2694682.37982,0,muy alto
41359,Fresno americano,25/04/2011 11:55,Alto (> 8 mts),170.0,Grande,-68.8406810962,-32.8819884858,1,Parque Central,1655357.93265,0,muy alto
4004,Paraiso,27/09/2011 09:44,Bajo (2 - 4 mts),69.0,Grande,-68.8214720508,-32.8739501436,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
32726,Fresno europeo,17/05/2011 13:15,Medio (4 - 8 mts),100.0,Grande,-68.8533185215,-32.8863556529,5,Residencial Sur,2423808.92355,0,medio
14142,Morera,01/12/2011 12:17,Alto (> 8 mts),94.0,Grande,-68.8757191231,-32.866373763,8,Aeroparque,2203364.73622,0,medio
40811,Pltano,26/04/2011 16:25,Alto (> 8 mts),140.0,Grande,-68.8399999605,-32.8837931148,1,Parque Central,1655357.93265,0,alto
14346,Fresno europeo,01/12/2011 13:03,Bajo (2 - 4 mts),20.0,Chico,-68.8775896832,-32.866402128,8,Aeroparque,2203364.73622,0,bajo
38955,Morera,03/01/2011 09:34,Alto (> 8 mts),120.0,Grande,-68.8558606493,-32.8708105293,6,Residencial Norte,2694682.37982,0,alto
33069,Morera,18/05/2011 10:19,Alto (> 8 mts),160.0,Grande,-68.8527352305,-32.8880630635,5,Residencial Sur,2423808.92355,0,muy alto
17444,Morera,29/07/2011 09:52,Alto (> 8 mts),112.0,Grande,-68.8346995032,-32.8670508009,4,Cuarta Oeste,1173332.70145,0,alto
21937,Fresno europeo,06/06/2011 10:02,Medio (4 - 8 mts),80.0,Grande,-68.8574983843,-32.8952875032,5,Residencial Sur,2423808.92355,0,medio
27162,Acacia SP,27/10/2011 09:52,Bajo (2 - 4 mts),77.0,Grande,-68.8372201755,-32.8908929647,3,Parque O'Higgins,1531146.02653,0,medio
45524,Fresno europeo,19/09/2011 10:33,Medio (4 - 8 mts),178.0,Grande,-68.821966795,-32.8727527668,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
41172,Fresno europeo,19/04/2011 09:46,Muy bajo (1 - 2 mts),3.0,Chico,-68.8368675343,-32.8800436276,1,Parque Central,1655357.93265,0,bajo
31208,Fresno europeo,07/02/2011 08:28,Medio (4 - 8 mts),100.0,Grande,-68.8535158616,-32.8643782437,6,Residencial Norte,2694682.37982,0,medio
18322,Pltano,01/08/2011 13:08,Alto (> 8 mts),198.0,Grande,-68.837520645,-32.8678130023,4,Cuarta Oeste,1173332.70145,0,muy alto
35066,Fresno europeo,22/03/2011 10:09,Alto (> 8 mts),105.0,Grande,-68.8548198934,-32.8796845179,6,Residencial Norte,2694682.37982,0,medio
26779,Fresno americano,01/11/2011 10:12,Medio (4 - 8 mts),40.0,Mediano,-68.8330545429,-32.8944531305,3,Parque O'Higgins,1531146.02653,0,bajo
38058,Morera,07/12/2010 11:47,Alto (> 8 mts),250.0,Grande,-68.8478206142,-32.8709435647,6,Residencial Norte,2694682.37982,0,muy alto
5719,Morera,04/05/2011 13:12,Medio (4 - 8 mts),27.0,Mediano,-68.8406091912,-32.8789149137,1,Parque Central,1655357.93265,0,bajo
43075,Morera,03/10/2011 09:37,Alto (> 8 mts),195.0,Grande,-68.8312995701,-32.8788976489,4,Cuarta Este Área Fundacional,1822015.85685,1,muy alto
33271,Pltano,29/06/2011 11:34,Alto (> 8 mts),220.0,Grande,-68.8553324685,-32.8910185738,5,Residencial Sur,2423808.92355,0,muy alto
6624,Fresno europeo,11/05/2011 11:39,Bajo (2 - 4 mts),12.0,Chico,-68.858666391,-32.8927030534,5,Residencial Sur,2423808.92355,0,bajo
21945,Paraiso,02/06/2011 13:19,Alto (> 8 mts),106.0,Grande,-68.8580157261,-32.8940524142,5,Residencial Sur,2423808.92355,0,medio
47189,Fresno europeo,20/09/2011 10:50,Medio (4 - 8 mts),85.0,Grande,-68.8342698498,-32.8751071396,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
29207,Fresno europeo,03/03/2011 09:03,Bajo (2 - 4 mts),30.0,Mediano,-68.8457254042,-32.8882709078,2,Barrio Civico,2366816.36021,0,bajo
24446,Fresno europeo,20/01/2011 10:00,Muy bajo (1 - 2 mts),4.0,Chico,-68.8456827868,-32.9026813165,2,Barrio Civico,2366816.36021,0,bajo
19826,Morera,04/08/2011 10:35,Alto (> 8 mts),190.0,Grande,-68.8340538499,-32.8643671622,4,Cuarta Oeste,1173332.70145,0,muy alto
17179,Morera,01/07/2011 11:52,Medio (4 - 8 mts),50.0,Mediano,-68.8362752093,-32.8634717914,4,Cuarta Oeste,1173332.70145,0,bajo
41929,Paraiso,20/04/2011 09:31,Medio (4 - 8 mts),134.0,Grande,-68.8378894772,-32.8794387482,1,Parque Central,1655357.93265,0,alto
17539,Morera,28/07/2011 10:45,Alto (> 8 mts),300.0,Grande,-68.8397236653,-32.866707481,4,Cuarta Oeste,1173332.70145,0,muy alto
3414,Morera,19/08/2011 12:28,Alto (> 8 mts),140.0,Grande,-68.8330601897,-32.8670356081,4,Cuarta Oeste,1173332.70145,0,alto
28959,Pltano,25/04/2011 12:25,Alto (> 8 mts),190.0,Grande,-68.8449488391,-32.885901924,1,Parque Central,1655357.93265,0,muy alto
31481,Paraiso,19/05/2011 11:17,Alto (> 8 mts),150.0,Grande,-68.8586759728,-32.8914009352,5,Residencial Sur,2423808.92355,1,alto
8689,Acer,09/02/2011 09:24,Medio (4 - 8 mts),88.0,Grande,-68.8392068607,-32.9005234799,2,Barrio Civico,2366816.36021,0,medio
39791,Morera,14/07/2011 10:25,Alto (> 8 mts),127.0,Grande,-68.8503938444,-32.8840025126,1,Parque Central,1655357.93265,1,alto
44509,Fresno europeo,18/10/2011 10:16,Alto (> 8 mts),120.0,Grande,-68.8359133455,-32.8859160939,3,Parque O'Higgins,1531146.02653,0,alto
45749,Morera,24/08/2011 11:12,Alto (> 8 mts),190.0,Grande,-68.8214620829,-32.8701635623,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
13029,Morera,16/02/2011 09:51,Alto (> 8 mts),166.0,Grande,-68.8452350861,-32.8660137828,4,Cuarta Oeste,1173332.70145,0,muy alto
41005,Pltano,12/04/2011 13:50,Alto (> 8 mts),176.0,Grande,-68.839343594,-32.8804065178,1,Parque Central,1655357.93265,0,muy alto
47358,Pltano,23/09/2011 08:56,Alto (> 8 mts),250.0,Grande,-68.8278228277,-32.8745733755,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
35450,Morera,28/03/2011 10:33,Alto (> 8 mts),70.0,Grande,-68.8542064711,-32.881189952,6,Residencial Norte,2694682.37982,1,medio
46308,Morera,28/09/2011 08:19,Alto (> 8 mts),180.0,Grande,-68.8242883739,-32.8734529638,4,Cuarta Este Área Fundacional,1822015.85685,1,muy alto
26317,Pltano,21/10/2011 08:37,Alto (> 8 mts),200.0,Grande,-68.8315691078,-32.8897813774,3,Parque O'Higgins,1531146.02653,0,muy alto
37125,Morera,07/04/2011 10:23,Alto (> 8 mts),160.0,Grande,-68.8587829505,-32.8777115513,7,Residencial Parque,1786336.08966,0,muy alto
13718,Morera,28/01/2011 13:34,Alto (> 8 mts),200.0,Grande,-68.8512506349,-32.8636920506,6,Residencial Norte,2694682.37982,0,muy alto
17715,Paraiso,18/07/2011 09:21,Medio (4 - 8 mts),70.0,Grande,-68.8424623589,-32.8675276247,4,Cuarta Oeste,1173332.70145,0,medio
45090,Fresno europeo,01/09/2011 10:14,Alto (> 8 mts),180.0,Grande,-68.8250203779,-32.8711375505,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
28399,Morera,14/03/2011 09:56,Alto (> 8 mts),164.0,Grande,-68.8493545243,-32.8881195693,5,Residencial Sur,2423808.92355,1,muy alto
5051,Morera,10/08/2011 09:21,Alto (> 8 mts),102.0,Grande,-68.8389860589,-32.8632034178,4,Cuarta Oeste,1173332.70145,0,medio
33166,Morera,08/06/2011 13:02,Alto (> 8 mts),114.0,Grande,-68.8536179116,-32.8914596229,5,Residencial Sur,2423808.92355,0,alto
30320,Fresno europeo,10/03/2011 13:13,Muy bajo (1 - 2 mts),8.0,Chico,-68.8418932203,-32.891286608,2,Barrio Civico,2366816.36021,0,bajo
17437,Morera,29/07/2011 10:10,Alto (> 8 mts),140.0,Grande,-68.8348013285,-32.8674532715,4,Cuarta Oeste,1173332.70145,0,alto
29238,Pltano,25/02/2011 09:28,Alto (> 8 mts),140.0,Grande,-68.8451999844,-32.8874309403,1,Parque Central,1655357.93265,0,alto
25534,Morera,04/03/2011 13:52,Alto (> 8 mts),120.0,Grande,-68.8407087191,-32.9012661882,2,Barrio Civico,2366816.36021,1,alto
26222,lamo criollo,19/10/2011 12:18,Alto (> 8 mts),230.0,Grande,-68.8301411756,-32.8878874206,3,Parque O'Higgins,1531146.02653,0,muy alto
1592,Algarrobo,30/11/2011 10:04,Muy bajo (1 - 2 mts),12.0,Chico,-68.8728749828,-32.8768156718,7,Residencial Parque,1786336.08966,0,bajo
43807,Fresno europeo,18/10/2011 16:20,Medio (4 - 8 mts),122.0,Grande,-68.8316890986,-32.8825093878,3,Parque O'Higgins,1531146.02653,0,alto
5578,Prunas,14/04/2011 13:44,Medio (4 - 8 mts),50.0,Mediano,-68.8391392557,-32.8799120797,1,Parque Central,1655357.93265,0,bajo
34829,Morera,29/03/2011 13:02,Alto (> 8 mts),157.0,Grande,-68.8525280455,-32.8764646849,6,Residencial Norte,2694682.37982,0,muy alto
36868,Morera,07/04/2011 16:29,Medio (4 - 8 mts),82.0,Grande,-68.8584777699,-32.8801715192,7,Residencial Parque,1786336.08966,1,medio
18093,Morera,01/08/2011 10:06,Alto (> 8 mts),145.0,Grande,-68.8399508375,-32.8679484136,4,Cuarta Oeste,1173332.70145,0,alto
28747,Pltano,11/03/2011 13:08,Alto (> 8 mts),150.0,Grande,-68.848755635,-32.8867188605,1,Parque Central,1655357.93265,0,alto
26656,Conifera,14/11/2011 15:21,Alto (> 8 mts),68.0,Grande,-68.8318626697,-32.893813858,3,Parque O'Higgins,1531146.02653,0,medio
21078,Fresno europeo,23/06/2011 10:15,Bajo (2 - 4 mts),45.0,Mediano,-68.8629773332,-32.9003550874,5,Residencial Sur,2423808.92355,0,bajo
48068,Morera,27/09/2011 10:58,Alto (> 8 mts),150.0,Grande,-68.8269954891,-32.8665227213,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
33901,Morera,14/07/2011 08:50,Medio (4 - 8 mts),90.0,Grande,-68.8544345728,-32.885556705,5,Residencial Sur,2423808.92355,0,medio
17962,Paraiso,02/08/2011 12:12,Alto (> 8 mts),150.0,Grande,-68.8373973683,-32.8670148531,4,Cuarta Oeste,1173332.70145,0,alto
19592,Morera,11/07/2011 10:09,Alto (> 8 mts),108.0,Grande,-68.835905118,-32.8717644624,4,Cuarta Oeste,1173332.70145,1,medio
7839,Pltano,13/06/2011 10:05,Medio (4 - 8 mts),180.0,Grande,-68.8508981595,-32.8862047915,5,Residencial Sur,2423808.92355,0,muy alto
18719,Morera,12/07/2011 20:10,Medio (4 - 8 mts),15.0,Chico,-68.8367932456,-32.8732926123,4,Cuarta Oeste,1173332.70145,0,bajo
33034,Morera,19/05/2011 10:13,Alto (> 8 mts),182.0,Grande,-68.8521129083,-32.8872101193,5,Residencial Sur,2423808.92355,0,muy alto
29210,Pltano,09/03/2011 13:49,Alto (> 8 mts),220.0,Grande,-68.8455711852,-32.8882340962,2,Barrio Civico,2366816.36021,0,muy alto
5375,Acer,26/04/2011 09:18,Medio (4 - 8 mts),120.0,Grande,-68.843362138,-32.877561978,1,Parque Central,1655357.93265,0,alto
39636,Morera,21/10/2010 11:00,Medio (4 - 8 mts),110.0,Grande,-68.8466304543,-32.8699882087,6,Residencial Norte,2694682.37982,0,medio
11360,Morera,21/01/2011 12:42,Medio (4 - 8 mts),106.0,Grande,-68.8487090064,-32.8997515513,2,Barrio Civico,2366816.36021,0,medio
46851,Morera,15/09/2011 13:22,Alto (> 8 mts),85.0,Grande,-68.8343966835,-32.8726373882,4,Cuarta Este Área Fundacional,1822015.85685,1,medio
18336,Morera,02/08/2011 10:09,Alto (> 8 mts),145.0,Grande,-68.8386100226,-32.8674735718,4,Cuarta Oeste,1173332.70145,0,alto
14198,Morera,30/11/2011 12:15,Medio (4 - 8 mts),67.0,Grande,-68.8768691039,-32.8672272332,8,Aeroparque,2203364.73622,0,medio
16767,Morera,11/08/2011 13:47,Medio (4 - 8 mts),40.0,Mediano,-68.8388780923,-32.8625136929,4,Cuarta Oeste,1173332.70145,0,bajo
6836,Morera,24/05/2011 08:56,Alto (> 8 mts),150.0,Grande,-68.8624928103,-32.8934590659,5,Residencial Sur,2423808.92355,1,alto
26109,Morera,11/11/2011 12:54,Medio (4 - 8 mts),84.0,Grande,-68.8312905826,-32.8872579726,3,Parque O'Higgins,1531146.02653,1,medio
42209,Morera,29/04/2011 14:06,Alto (> 8 mts),180.0,Grande,-68.8392692368,-32.8747198064,1,Parque Central,1655357.93265,0,muy alto
12383,Morera,21/01/2011 13:29,Alto (> 8 mts),90.0,Grande,-68.8476568184,-32.8667726615,6,Residencial Norte,2694682.37982,0,medio
38629,Fresno europeo,16/12/2010 10:02,Medio (4 - 8 mts),60.0,Mediano,-68.851347061,-32.8719219054,6,Residencial Norte,2694682.37982,0,bajo
27733,Morera,31/10/2011 09:44,Medio (4 - 8 mts),120.0,Grande,-68.8358322861,-32.8952752727,2,Barrio Civico,2366816.36021,0,alto
6015,Morera,12/04/2011 09:46,Alto (> 8 mts),165.0,Grande,-68.843016933,-32.8835679253,1,Parque Central,1655357.93265,1,muy alto
34928,Morera,06/04/2011 10:21,Alto (> 8 mts),79.0,Grande,-68.8564216036,-32.8800291906,7,Residencial Parque,1786336.08966,0,medio
33175,Pltano,08/06/2011 12:06,Alto (> 8 mts),180.0,Grande,-68.8546247532,-32.8921280959,5,Residencial Sur,2423808.92355,0,muy alto
9229,Morera,28/02/2011 11:31,Medio (4 - 8 mts),130.0,Grande,-68.84903423,-32.8652583104,6,Residencial Norte,2694682.37982,0,alto
13843,Morera,26/01/2011 08:39,Medio (4 - 8 mts),104.0,Grande,-68.8487524242,-32.8633614523,6,Residencial Norte,2694682.37982,0,medio
25819,Morera,01/02/2011 13:20,Medio (4 - 8 mts),69.0,Grande,-68.8405955511,-32.9029826809,2,Barrio Civico,2366816.36021,0,medio
1392,Acer,23/11/2011 11:02,Bajo (2 - 4 mts),30.0,Mediano,-68.8709124428,-32.879276612,7,Residencial Parque,1786336.08966,0,bajo
39078,Fresno europeo,22/12/2010 09:30,Medio (4 - 8 mts),65.0,Grande,-68.8533791808,-32.8713876153,6,Residencial Norte,2694682.37982,0,medio
32838,Pltano,13/06/2011 09:50,Alto (> 8 mts),280.0,Grande,-68.8503366843,-32.8863121265,5,Residencial Sur,2423808.92355,0,muy alto
44887,Fresno americano,23/08/2011 10:09,Bajo (2 - 4 mts),15.0,Chico,-68.8242093933,-32.867342896,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
24692,Olmo comun,14/01/2011 12:41,Alto (> 8 mts),230.0,Grande,-68.8427622514,-32.8965299545,2,Barrio Civico,2366816.36021,0,muy alto
35858,Morera,29/03/2011 10:36,Alto (> 8 mts),210.0,Grande,-68.8525517098,-32.8760348961,6,Residencial Norte,2694682.37982,0,muy alto
31458,Fresno americano,13/07/2011 11:43,Medio (4 - 8 mts),90.0,Grande,-68.8501656427,-32.8844329626,1,Parque Central,1655357.93265,0,medio
36800,Pltano,07/04/2011 15:29,Alto (> 8 mts),180.0,Grande,-68.8594668406,-32.8811771025,7,Residencial Parque,1786336.08966,0,muy alto
33123,Fresno europeo,27/06/2011 11:05,Alto (> 8 mts),128.0,Grande,-68.8541193529,-32.8904301516,5,Residencial Sur,2423808.92355,0,alto
2235,Pltano,31/10/2011 09:11,Alto (> 8 mts),180.0,Grande,-68.8373171993,-32.8936680587,2,Barrio Civico,2366816.36021,0,muy alto
815,Aguaribay,16/12/2011 12:10,Medio (4 - 8 mts),98.0,Grande,-68.8825450155,-32.8669174365,8,Aeroparque,2203364.73622,0,medio
24605,Morera,07/02/2011 10:03,Alto (> 8 mts),180.0,Grande,-68.843931642,-32.903102947,2,Barrio Civico,2366816.36021,1,muy alto
20580,Tipa,30/05/2011 11:14,Bajo (2 - 4 mts),45.0,Mediano,-68.8628274509,-32.8978083686,5,Residencial Sur,2423808.92355,0,bajo
37229,Acacia SP,11/03/2011 13:05,Medio (4 - 8 mts),80.0,Grande,-68.8575235799,-32.8731988586,6,Residencial Norte,2694682.37982,0,medio
3740,Fresno europeo,25/08/2011 13:52,Medio (4 - 8 mts),120.0,Grande,-68.8199663349,-32.8702112228,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
38778,Fresno europeo,01/11/2010 11:45,Muy bajo (1 - 2 mts),15.0,Chico,-68.8501327662,-32.8695946259,6,Residencial Norte,2694682.37982,0,bajo
4197,Paraiso,07/07/2011 11:31,Alto (> 8 mts),158.0,Grande,-68.837598055,-32.873901735,4,Cuarta Oeste,1173332.70145,0,muy alto
12537,Morera,10/01/2011 14:05,Alto (> 8 mts),220.0,Grande,-68.8442360246,-32.8626240831,4,Cuarta Oeste,1173332.70145,0,muy alto
34797,Morera,30/03/2011 10:20,Alto (> 8 mts),123.0,Grande,-68.8507917691,-32.8762515393,6,Residencial Norte,2694682.37982,0,alto
18200,Morera,22/07/2011 09:11,Alto (> 8 mts),135.0,Grande,-68.8404003049,-32.8690983779,4,Cuarta Oeste,1173332.70145,0,alto
18420,Morera,11/07/2011 11:07,Alto (> 8 mts),150.0,Grande,-68.8390288688,-32.8737411596,4,Cuarta Oeste,1173332.70145,0,alto
31806,Morera,03/01/2012 10:18,Bajo (2 - 4 mts),40.0,Mediano,-68.8600629836,-32.8892672447,5,Residencial Sur,2423808.92355,0,bajo
37441,lamo blanco,05/01/2011 12:12,Alto (> 8 mts),97.0,Grande,-68.8580036835,-32.8711787977,6,Residencial Norte,2694682.37982,0,medio
32254,Morera,09/05/2011 10:36,Medio (4 - 8 mts),110.0,Grande,-68.8591276855,-32.8847976244,5,Residencial Sur,2423808.92355,0,medio
48335,Morera,19/08/2011 09:26,Medio (4 - 8 mts),107.0,Grande,-68.8273214027,-32.8670971389,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
14345,Morera,01/12/2011 13:00,Medio (4 - 8 mts),80.0,Grande,-68.8776193866,-32.8665167752,8,Aeroparque,2203364.73622,0,medio
351,Morera,07/03/2012 09:28,Medio (4 - 8 mts),150.0,Grande,-68.8212753436,-32.8671879718,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
9349,Jacarand,18/02/2011 13:23,Bajo (2 - 4 mts),14.0,Chico,-68.8468764354,-32.8645090519,4,Cuarta Oeste,1173332.70145,0,bajo
47458,Morera,20/09/2011 10:13,Alto (> 8 mts),158.0,Grande,-68.8306326216,-32.8748225623,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
43718,Morera,11/10/2011 09:05,Muy bajo (1 - 2 mts),6.0,Chico,-68.8324403434,-32.8833085745,3,Parque O'Higgins,1531146.02653,0,bajo
20727,Morera,31/05/2011 10:29,Medio (4 - 8 mts),140.0,Grande,-68.8633427249,-32.8977422077,5,Residencial Sur,2423808.92355,0,alto
11404,Paraiso,26/01/2011 16:36,Alto (> 8 mts),144.0,Grande,-68.8507305076,-32.9012909848,2,Barrio Civico,2366816.36021,0,alto
42066,Morera,12/04/2011 12:17,Medio (4 - 8 mts),160.0,Grande,-68.8421286005,-32.8802329716,1,Parque Central,1655357.93265,0,muy alto
26499,Olmo comun,07/11/2011 08:39,Medio (4 - 8 mts),36.0,Mediano,-68.8315475651,-32.8920225856,3,Parque O'Higgins,1531146.02653,0,bajo
